unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_000000,Amsterdam,29478,19356,670481.5,16,2.7722,0.00032,0.04961,0.5123,52.359197,4.877039,16|4|5|18|23,0.1242|0.0653|0.0547|0.0457|0.0415,
unit_000002,Amsterdam,4,5,76.0,16,2.6033,0.0,0.05124,0.5128,52.371182,4.888588,16|4|25|15|5,0.1704|0.0503|0.0485|0.0455|0.0432,
unit_000003,Amsterdam,9656,4970,218966.9,16,2.8329,0.00029,0.04568,0.5113,52.358218,4.929663,16|4|18|6|24,0.0988|0.0749|0.0572|0.0494|0.0485,
unit_000004,Amsterdam,26,38,468.1,16,2.6434,1e-05,0.05527,0.5138,52.3633,4.87312,16|4|18|24|6,0.1560|0.0694|0.0587|0.0472|0.0459,
unit_000005,Amsterdam,24,26,451.0,18,2.7591,0.0,0.05401,0.5135,52.364355,4.872199,18|4|16|30|7,0.0957|0.0877|0.0728|0.0662|0.0610,
unit_000006,Amsterdam,647,418,14234.2,16,2.8318,0.00019,0.03933,0.5098,52.369649,4.918723,16|15|18|6|4,0.1130|0.0617|0.0598|0.0540|0.0478,
unit_000008,Amsterdam,7,8,152.9,5,2.5738,1e-05,0.01872,0.5047,52.355551,4.855069,5|16|24|18|25,0.1238|0.0938|0.0780|0.0584|0.0550,
unit_000009,Amsterdam,166,56,4043.5,21,2.5593,0.00034,0.1374,0.5342,52.377509,4.95931,21|17|19|15|25,0.1216|0.0740|0.0460|0.0385|0.0325,
unit_000010,Amsterdam,844,459,19040.3,16,2.8858,0.00041,0.09656,0.524,52.362152,4.97308,16|15|2|26|18,0.0616|0.0533|0.0526|0.0518|0.0516,
unit_000011,Amsterdam,731,405,15959.2,16,2.8608,0.00025,0.03183,0.5079,52.384962,4.866698,16|7|15|6|4,0.0668|0.0648|0.0554|0.0547|0.0499,
unit_000012,Amsterdam,2134,1084,46325.3,2,2.8904,0.0004,0.06326,0.5157,52.393032,4.859171,2|15|6|25|23,0.0698|0.0650|0.0616|0.0438|0.0431,
unit_000013,Amsterdam,36,20,833.2,10,2.6459,0.0,0.02935,0.5073,52.339925,4.848116,10|25|15|24|4,0.1171|0.0771|0.0691|0.0670|0.0576,
unit_000015,Amsterdam,12332,5427,277875.2,26,2.8896,0.00039,0.0529,0.5131,52.265845,4.792025,26|19|15|6|4,0.0747|0.0608|0.0543|0.0501|0.0474,
unit_000016,Amsterdam,1798,860,38925.8,15,2.8761,0.00034,0.06059,0.5151,52.245337,4.831748,15|4|26|24|6,0.0708|0.0651|0.0616|0.0550|0.0542,
unit_000017,Amsterdam,417,231,8760.0,16,2.8462,0.00025,0.04282,0.5106,52.39021,4.876205,16|4|18|6|24,0.0919|0.0858|0.0676|0.0567|0.0561,
unit_000020,Amsterdam,11,12,222.6,4,2.7099,0.0,0.09623,0.524,52.365102,4.85539,4|16|18|24|7,0.1330|0.0861|0.0812|0.0588|0.0543,
unit_000022,Amsterdam,7530,3177,166530.0,26,2.8551,0.00028,0.05285,0.5131,52.241812,4.774132,26|4|24|19|15,0.0906|0.0700|0.0566|0.0559|0.0535,
unit_000024,Amsterdam,540,208,13290.6,19,2.8,0.00016,0.07197,0.5179,52.228504,4.762045,19|2|26|15|1,0.0977|0.0583|0.0558|0.0520|0.0514,
unit_000025,Amsterdam,52,20,1096.1,19,2.7681,0.0,0.01558,0.5039,52.222697,4.735926,19|26|15|6|24,0.0822|0.0774|0.0769|0.0696|0.0572,
unit_000027,Amsterdam,134,58,3148.5,19,2.8014,0.0001,0.04788,0.5119,52.227048,4.734385,19|26|1|30|12,0.1143|0.0666|0.0463|0.0442|0.0440,
unit_000031,Amsterdam,78,130,1642.6,26,2.6942,2e-05,0.01522,0.5038,52.230142,4.748685,26|4|24|7|16,0.1363|0.1108|0.0791|0.0547|0.0448,
unit_000034,Amsterdam,138,104,3114.4,26,2.7621,0.00019,0.02546,0.5063,52.232067,4.834422,26|4|7|1|16,0.1085|0.0598|0.0571|0.0563|0.0535,
unit_000035,Amsterdam,54,42,1201.1,26,2.6727,0.0,0.02279,0.5057,52.23098,4.836647,26|4|24|1|15,0.1019|0.0891|0.0831|0.0691|0.0620,
unit_000036,Amsterdam,40,56,798.5,4,2.7673,1e-05,0.03236,0.5081,52.230794,4.826481,4|7|26|24|15,0.0983|0.0944|0.0896|0.0576|0.0536,
unit_000039,Amsterdam,18,38,369.4,4,2.6704,1e-05,0.0193,0.5048,52.230826,4.824476,4|26|25|1|19,0.1184|0.0786|0.0614|0.0542|0.0465,
unit_000042,Amsterdam,24,42,383.2,4,2.7974,0.0,0.10209,0.5255,52.23195,4.824448,4|26|6|19|1,0.0976|0.0928|0.0759|0.0737|0.0675,
unit_000043,Amsterdam,4,6,86.2,4,2.7294,1e-05,0.02412,0.506,52.230763,4.827709,4|26|7|10|18,0.1045|0.0744|0.0736|0.0648|0.0526,
unit_000044,Amsterdam,64,83,1211.2,15,2.7863,3e-05,0.07131,0.5178,52.231328,4.828744,15|16|7|4|26,0.0946|0.0942|0.0753|0.0704|0.0679,
unit_000045,Amsterdam,4,6,86.2,4,2.7294,1e-05,0.02412,0.506,52.230763,4.827709,4|26|7|10|18,0.1045|0.0744|0.0736|0.0648|0.0526,
unit_000047,Amsterdam,26,30,546.6,26,2.6931,1e-05,0.02516,0.5063,52.230598,4.737467,26|4|24|2|18,0.0998|0.0947|0.0867|0.0777|0.0753,
unit_000049,Amsterdam,98,28,2068.2,4,2.7406,3e-05,0.01332,0.5033,52.232072,4.736906,4|26|19|6|18,0.0925|0.0868|0.0858|0.0687|0.0653,
unit_000054,Amsterdam,4,6,81.1,4,2.7336,1e-05,0.01809,0.5045,52.231025,4.827592,4|26|7|10|18,0.1043|0.0746|0.0739|0.0646|0.0530,
unit_000055,Amsterdam,674,274,14189.1,26,2.8446,0.0003,0.07106,0.5177,52.234447,4.832385,26|16|4|24|18,0.0869|0.0636|0.0572|0.0565|0.0512,
unit_000056,Amsterdam,162,72,3392.7,26,2.7495,0.00012,0.03777,0.5094,52.233062,4.821178,26|24|4|10|12,0.1079|0.0997|0.0839|0.0635|0.0417,
unit_000057,Amsterdam,180,92,3741.7,26,2.7511,7e-05,0.03122,0.5078,52.233466,4.818102,26|7|24|4|10,0.1190|0.0808|0.0782|0.0687|0.0559,
unit_000059,Amsterdam,6,12,118.8,26,2.7453,1e-05,0.02052,0.5051,52.232056,4.750289,26|4|24|7|1,0.1050|0.1027|0.0981|0.0588|0.0546,
unit_000060,Amsterdam,8,8,62.7,26,2.6532,0.0,0.04569,0.5114,52.231502,4.818653,26|4|24|16|15,0.1201|0.0858|0.0805|0.0617|0.0613,
unit_000063,Amsterdam,130,48,2783.1,26,2.8438,0.00017,0.03391,0.5084,52.232844,4.814994,26|6|10|7|4,0.0887|0.0699|0.0694|0.0631|0.0618,
unit_000064,Amsterdam,140,58,3435.1,19,2.7016,7e-05,0.19955,0.5497,52.235947,4.779739,19|15|1|26|24,0.1035|0.0942|0.0766|0.0523|0.0468,
unit_000066,Amsterdam,22,28,466.3,26,2.5704,0.0,0.1263,0.5315,52.231544,4.823511,26|4|24|10|12,0.1359|0.0916|0.0726|0.0645|0.0521,
unit_000074,Amsterdam,150,72,3355.2,26,2.7891,0.00014,0.07584,0.5189,52.233804,4.823307,26|24|4|7|15,0.1000|0.0986|0.0743|0.0559|0.0535,
unit_000076,Amsterdam,24,44,427.7,26,2.7635,1e-05,0.01759,0.5044,52.231731,4.822402,26|4|24|7|6,0.1222|0.0894|0.0766|0.0747|0.0647,
unit_000082,Amsterdam,46,48,881.7,7,2.7589,0.0,0.05552,0.5139,52.232794,4.823194,7|19|26|4|10,0.1089|0.0737|0.0618|0.0579|0.0558,
unit_000083,Amsterdam,24,20,529.4,26,2.6532,0.0,0.02671,0.5067,52.23172,4.819739,26|4|24|16|15,0.1201|0.0858|0.0805|0.0617|0.0613,
unit_000089,Amsterdam,6,6,104.9,26,2.7528,0.0,0.02407,0.506,52.232522,4.825702,26|4|30|24|7,0.1223|0.0900|0.0818|0.0750|0.0542,
unit_000095,Amsterdam,46,64,873.7,4,2.7849,1e-05,0.04505,0.5113,52.232722,4.808571,4|26|7|10|12,0.0982|0.0942|0.0675|0.0562|0.0528,
unit_000096,Amsterdam,14,8,260.7,4,2.7934,0.0,0.01292,0.5032,52.232828,4.824374,4|26|6|19|1,0.0935|0.0920|0.0764|0.0744|0.0647,
unit_000102,Amsterdam,4,4,73.9,6,2.8314,0.0,0.07577,0.5189,52.233454,4.816061,6|19|23|15|7,0.0784|0.0722|0.0718|0.0708|0.0679,
unit_000108,Amsterdam,114,116,2080.5,26,2.6803,4e-05,0.04428,0.5111,52.236549,4.808048,26|4|30|7|24,0.1294|0.1026|0.0788|0.0728|0.0682,
unit_000110,Amsterdam,32,52,511.0,24,2.5581,1e-05,0.10405,0.526,52.235646,4.834679,24|18|26|1|23,0.0866|0.0759|0.0725|0.0628|0.0534,
unit_000111,Amsterdam,8,16,104.7,12,2.8268,0.0,0.01527,0.5038,52.23489,4.810005,12|18|30|7|6,0.0829|0.0748|0.0631|0.0603|0.0593,
unit_000112,Amsterdam,48,54,935.5,4,2.8071,7e-05,0.01433,0.5036,52.23535,4.809309,4|12|30|7|18,0.0876|0.0678|0.0667|0.0656|0.0624,
unit_000113,Amsterdam,140,56,3341.6,19,2.744,0.00016,0.21497,0.5535,52.234589,4.784917,19|26|1|12|24,0.0957|0.0571|0.0551|0.0529|0.0492,
unit_000116,Amsterdam,14,14,235.5,24,2.785,0.0,0.15776,0.5394,52.235183,4.807202,24|1|23|26|19,0.0976|0.0771|0.0768|0.0693|0.0652,
unit_000125,Amsterdam,28,22,503.1,26,2.4442,0.0,0.06286,0.5157,52.23642,4.761505,26|16|24|18|4,0.1342|0.0806|0.0795|0.0698|0.0665,
unit_000132,Amsterdam,42,94,819.2,26,2.5136,2e-05,0.07726,0.5193,52.237358,4.761482,26|18|4|16|24,0.1199|0.1043|0.0885|0.0661|0.0649,
unit_000135,Amsterdam,20,22,438.1,26,2.58,0.0,0.02283,0.5057,52.23701,4.762675,26|18|4|16|24,0.1453|0.0837|0.0771|0.0715|0.0633,
unit_000141,Amsterdam,118,36,2598.3,26,2.7942,7e-05,0.02583,0.5064,52.237304,4.757056,26|24|15|12|4,0.0912|0.0811|0.0810|0.0623|0.0588,
unit_000142,Amsterdam,34,52,647.6,18,2.537,0.0,0.04116,0.5103,52.237809,4.760389,18|26|30|24|4,0.1279|0.0805|0.0533|0.0493|0.0458,
unit_000147,Amsterdam,36,4,761.2,19,2.6861,0.0,0.01419,0.5035,52.238245,4.807822,19|26|23|6|1,0.0952|0.0847|0.0615|0.0536|0.0520,
unit_000148,Amsterdam,64,67,1283.3,15,2.7081,0.0,0.13302,0.5332,52.239003,4.822566,15|24|30|26|10,0.0891|0.0749|0.0681|0.0667|0.0598,
unit_000149,Amsterdam,124,84,2193.9,26,2.6579,0.0,0.02786,0.507,52.238817,4.759063,26|4|18|24|7,0.1222|0.1025|0.0991|0.0579|0.0562,
unit_000150,Amsterdam,20,40,146.2,18,2.6554,0.0,0.02917,0.5073,52.238232,4.759974,18|26|4|24|30,0.1327|0.1144|0.0814|0.0616|0.0451,
unit_000153,Amsterdam,254,96,5910.2,26,2.7741,0.00016,0.03318,0.5083,52.240109,4.801216,26|24|30|4|6,0.1015|0.0716|0.0584|0.0570|0.0543,
unit_000154,Amsterdam,9,4,214.5,1,2.5064,0.0,0.01276,0.5032,52.237774,4.791405,1|19|26|12|4,0.0864|0.0731|0.0724|0.0570|0.0485,
unit_000155,Amsterdam,12,10,179.1,18,2.5203,0.0,0.03752,0.5094,52.238628,4.760702,18|26|30|24|4,0.1233|0.0758|0.0523|0.0476|0.0395,
unit_000158,Amsterdam,90,114,2027.3,4,2.6902,1e-05,0.22701,0.5565,52.238972,4.786146,4|30|26|18|24,0.1011|0.0897|0.0715|0.0701|0.0698,
unit_000162,Amsterdam,9,18,50.5,26,2.841,0.0,0.0394,0.5098,52.243206,4.828545,26|15|4|6|24,0.0968|0.0811|0.0749|0.0724|0.0572,
unit_000164,Amsterdam,54,98,794.4,6,2.8157,2e-05,0.08472,0.5212,52.242078,4.816998,6|2|25|23|5,0.1397|0.0690|0.0619|0.0619|0.0576,
unit_000170,Amsterdam,8,10,184.4,4,2.6523,1e-05,0.10216,0.5255,52.243621,4.826291,4|26|24|30|15,0.1362|0.1062|0.0810|0.0720|0.0683,
unit_000172,Amsterdam,12,12,272.4,15,2.7939,0.0,0.16654,0.5415,52.243215,4.831109,15|6|23|25|26,0.1241|0.0716|0.0670|0.0655|0.0648,
unit_000174,Amsterdam,8,10,184.4,4,2.6523,1e-05,0.10216,0.5255,52.243621,4.826291,4|26|24|30|15,0.1362|0.1062|0.0810|0.0720|0.0683,
unit_000175,Amsterdam,13,11,287.2,4,2.7263,7e-05,0.03513,0.5088,52.244021,4.827174,4|26|24|30|15,0.1174|0.1050|0.0817|0.0717|0.0593,
unit_000177,Amsterdam,6,6,129.1,4,2.6705,1e-05,0.01918,0.5048,52.244237,4.825383,4|26|7|12|15,0.1228|0.0726|0.0660|0.0555|0.0496,
unit_000179,Amsterdam,16,38,103.7,4,2.8229,0.0,0.0286,0.5071,52.243904,4.823646,4|26|15|6|24,0.1061|0.0917|0.0795|0.0765|0.0635,
unit_000180,Amsterdam,633,500,13763.6,4,2.8586,0.00024,0.062,0.5154,52.246995,4.819302,4|15|24|26|10,0.0835|0.0673|0.0670|0.0624|0.0559,
unit_000181,Amsterdam,214,88,4691.7,26,2.7949,0.00013,0.02285,0.5057,52.244828,4.813142,26|24|4|16|18,0.1185|0.0747|0.0642|0.0595|0.0546,
unit_000183,Amsterdam,69,47,1550.9,4,2.8385,0.00026,0.04788,0.5119,52.245473,4.824029,4|26|15|12|19,0.0970|0.0697|0.0688|0.0632|0.0543,
unit_000184,Amsterdam,24,42,512.6,26,2.8248,0.0,0.01516,0.5038,52.244056,4.83409,26|15|7|4|12,0.0945|0.0851|0.0796|0.0729|0.0566,
unit_000186,Amsterdam,12,26,180.8,4,2.7812,0.0,0.01686,0.5042,52.244244,4.830249,4|6|26|7|15,0.1311|0.0823|0.0798|0.0708|0.0637,
unit_000187,Amsterdam,14,28,108.2,4,2.8033,0.0,0.03183,0.508,52.244493,4.830292,4|10|26|6|7,0.1140|0.0792|0.0782|0.0730|0.0716,
unit_000192,Amsterdam,6,6,129.1,4,2.6705,1e-05,0.01918,0.5048,52.244237,4.825383,4|26|7|12|15,0.1228|0.0726|0.0660|0.0555|0.0496,
unit_000197,Amsterdam,14,18,257.2,25,2.8166,1e-05,0.02522,0.5063,52.244592,4.818653,25|24|6|1|19,0.0840|0.0758|0.0669|0.0666|0.0653,
unit_000199,Amsterdam,14,15,255.8,15,2.7768,0.0,0.04788,0.512,52.243268,4.817693,15|25|24|12|30,0.1129|0.0861|0.0794|0.0649|0.0634,
unit_000203,Amsterdam,6,14,125.3,24,2.6925,3e-05,0.03709,0.5093,52.24513,4.83401,24|26|30|4|7,0.1121|0.1059|0.0808|0.0748|0.0529,
unit_000204,Amsterdam,4,12,50.1,26,2.7804,1e-05,0.01347,0.5034,52.244655,4.833959,26|24|4|30|7,0.1129|0.0952|0.0858|0.0773|0.0700,
unit_000205,Amsterdam,554,288,12413.5,4,2.8544,0.00019,0.05519,0.5137,52.251068,4.817599,4|10|15|26|12,0.0747|0.0731|0.0703|0.0679|0.0608,
unit_000206,Amsterdam,4,6,85.5,4,2.7483,1e-05,0.04468,0.5112,52.247037,4.814954,4|26|30|10|2,0.1088|0.0930|0.0680|0.0659|0.0644,
unit_000208,Amsterdam,7,9,154.3,15,2.6989,0.0,0.19403,0.5484,52.246802,4.823476,15|19|7|23|10,0.1245|0.0895|0.0728|0.0666|0.0577,
unit_000209,Amsterdam,4,4,77.2,26,2.6421,0.0,0.22921,0.5571,52.246457,4.824704,26|4|30|23|10,0.1198|0.1017|0.0858|0.0641|0.0632,
unit_000210,Amsterdam,4,6,85.5,4,2.7483,1e-05,0.04468,0.5112,52.247037,4.814954,4|26|30|10|2,0.1088|0.0930|0.0680|0.0659|0.0644,
unit_000211,Amsterdam,202,145,4066.8,26,2.8579,0.00016,0.06722,0.5168,52.249833,4.825408,26|4|10|15|6,0.0849|0.0817|0.0658|0.0629|0.0585,
unit_000214,Amsterdam,8,10,178.7,26,2.6601,1e-05,0.14706,0.5367,52.247281,4.824692,26|4|30|23|10,0.1187|0.1006|0.0858|0.0654|0.0642,
unit_000215,Amsterdam,8,8,178.7,26,2.7156,0.0,0.07498,0.5187,52.248339,4.82596,26|4|24|10|16,0.1176|0.1158|0.0871|0.0624|0.0500,
unit_000216,Amsterdam,8,14,177.8,4,2.6927,3e-05,0.05426,0.5136,52.248612,4.823068,4|26|24|12|15,0.1241|0.1046|0.0773|0.0747|0.0472,
unit_000221,Amsterdam,9,16,203.5,4,2.691,3e-05,0.08411,0.521,52.248768,4.822904,4|26|24|12|15,0.1245|0.1053|0.0786|0.0738|0.0440,
unit_000225,Amsterdam,3,3,51.8,26,2.6421,0.0,0.01194,0.503,52.247872,4.824516,26|4|30|23|10,0.1198|0.1017|0.0858|0.0641|0.0632,
unit_000227,Amsterdam,12,6,267.9,4,2.6785,0.0,0.11399,0.5285,52.248744,4.820318,4|10|30|26|2,0.1025|0.0794|0.0780|0.0696|0.0670,
unit_000229,Amsterdam,16,12,357.2,4,2.679,0.0,0.05188,0.513,52.249414,4.820595,4|10|30|26|2,0.1025|0.0795|0.0780|0.0697|0.0670,
unit_000230,Amsterdam,8,8,178.7,26,2.7156,0.0,0.07498,0.5187,52.248339,4.82596,26|4|24|10|16,0.1176|0.1158|0.0871|0.0624|0.0500,
unit_000231,Amsterdam,8,10,178.7,26,2.6601,1e-05,0.14706,0.5367,52.247281,4.824692,26|4|30|23|10,0.1187|0.1006|0.0858|0.0654|0.0642,
unit_000232,Amsterdam,38,34,839.4,12,2.8026,0.0,0.09626,0.524,52.250294,4.821115,12|4|1|23|10,0.0811|0.0799|0.0663|0.0616|0.0595,
unit_000237,Amsterdam,8,14,177.8,4,2.6927,3e-05,0.05426,0.5136,52.248612,4.823068,4|26|24|12|15,0.1241|0.1046|0.0773|0.0747|0.0472,
unit_000239,Amsterdam,9,16,203.5,4,2.691,3e-05,0.08411,0.521,52.248768,4.822904,4|26|24|12|15,0.1245|0.1053|0.0786|0.0738|0.0440,
unit_000240,Amsterdam,54,30,1150.7,26,2.7397,2e-05,0.04605,0.5115,52.251126,4.82721,26|10|30|4|24,0.1069|0.0880|0.0686|0.0646|0.0638,
unit_000241,Amsterdam,1613,645,37330.5,26,2.834,0.00028,0.05741,0.5143,52.261425,4.718504,26|24|4|15|30,0.0848|0.0665|0.0659|0.0499|0.0494,
unit_000244,Amsterdam,6,15,133.6,19,2.7132,2e-05,0.03163,0.5079,52.250692,4.761855,19|1|24|23|26,0.0841|0.0813|0.0804|0.0766|0.0741,
unit_000248,Amsterdam,54,10,1088.5,26,2.7979,9e-05,0.02606,0.5065,52.250988,4.768508,26|4|15|24|19,0.0985|0.0938|0.0747|0.0743|0.0567,
unit_000251,Amsterdam,7,19,156.9,19,2.7433,2e-05,0.15698,0.5392,52.252201,4.824391,19|25|15|1|4,0.1016|0.1001|0.0869|0.0653|0.0589,
unit_000252,Amsterdam,270,302,6145.3,17,2.6363,0.00011,0.1153,0.5288,52.253251,4.829774,17|19|15|25|2,0.1150|0.0984|0.0787|0.0611|0.0487,
unit_000257,Amsterdam,6,17,130.3,4,2.7155,3e-05,0.03195,0.508,52.251707,4.824755,4|19|15|25|26,0.1072|0.0890|0.0875|0.0778|0.0642,
unit_000259,Amsterdam,6,15,133.6,19,2.7132,2e-05,0.03163,0.5079,52.250692,4.761855,19|1|24|23|26,0.0841|0.0813|0.0804|0.0766|0.0741,
unit_000262,Amsterdam,8,9,188.7,26,2.6349,0.0,0.04102,0.5103,52.251408,4.767737,26|4|24|18|15,0.0966|0.0875|0.0817|0.0696|0.0516,
unit_000263,Amsterdam,10,4,52.5,4,2.7991,1e-05,0.02729,0.5068,52.252162,4.767218,4|26|24|15|1,0.1197|0.1169|0.0805|0.0569|0.0563,
unit_000268,Amsterdam,94,136,1960.5,4,2.7656,5e-05,0.01747,0.5044,52.25246,4.7693,4|26|15|24|6,0.1165|0.0944|0.0913|0.0757|0.0572,
unit_000271,Amsterdam,80,48,1678.8,4,2.6862,8e-05,0.02104,0.5052,52.25213,4.81615,4|7|24|30|2,0.0938|0.0829|0.0684|0.0681|0.0665,
unit_000272,Amsterdam,6,17,130.3,4,2.7155,3e-05,0.03195,0.508,52.251707,4.824755,4|19|15|25|26,0.1072|0.0890|0.0875|0.0778|0.0642,
unit_000275,Amsterdam,12,14,174.7,19,2.694,0.0,0.09308,0.5233,52.259913,4.798911,19|2|23|6|1,0.0934|0.0803|0.0619|0.0555|0.0526,
unit_000276,Amsterdam,6,6,131.3,4,2.7189,0.0,0.0138,0.5034,52.252883,4.766501,4|26|30|24|15,0.1331|0.1083|0.0757|0.0676|0.0478,
unit_000279,Amsterdam,8,9,188.7,26,2.6349,0.0,0.04102,0.5103,52.251408,4.767737,26|4|24|18|15,0.0966|0.0875|0.0817|0.0696|0.0516,
unit_000283,Amsterdam,40,50,826.8,4,2.6833,0.0,0.05903,0.5148,52.253466,4.768544,4|26|10|15|1,0.1131|0.0765|0.0747|0.0645|0.0645,
unit_000284,Amsterdam,10,18,213.0,4,2.7372,2e-05,0.01208,0.503,52.253235,4.817158,4|24|2|10|26,0.1116|0.0734|0.0708|0.0677|0.0655,
unit_000286,Amsterdam,4,8,56.8,4,2.4957,0.0,0.01196,0.503,52.253028,4.816336,4|26|10|24|2,0.1041|0.0816|0.0798|0.0788|0.0781,
unit_000287,Amsterdam,10,26,134.7,4,2.6993,1e-05,0.01766,0.5044,52.253324,4.816575,4|26|2|10|24,0.1112|0.0848|0.0820|0.0812|0.0776,
unit_000290,Amsterdam,20,30,372.7,24,2.6759,1e-05,0.04689,0.5117,52.254612,4.761772,24|30|26|23|4,0.1127|0.0885|0.0834|0.0730|0.0601,
unit_000292,Amsterdam,4,5,82.6,4,2.5837,0.0,0.02101,0.5053,52.255058,4.760716,4|26|24|30|15,0.1477|0.1104|0.0965|0.0687|0.0429,
unit_000293,Amsterdam,74,42,1643.2,4,2.6683,2e-05,0.03213,0.508,52.255582,4.759708,4|26|24|15|30,0.1296|0.1106|0.0882|0.0681|0.0636,
unit_000297,Amsterdam,30,44,569.6,4,2.5782,0.0,0.03757,0.5094,52.256091,4.763552,4|26|24|10|30,0.1319|0.1100|0.0822|0.0552|0.0380,
unit_000298,Amsterdam,4,5,82.6,4,2.5837,0.0,0.02101,0.5053,52.255058,4.760716,4|26|24|30|15,0.1477|0.1104|0.0965|0.0687|0.0429,
unit_000302,Amsterdam,28,54,565.8,24,2.6927,4e-05,0.04563,0.5114,52.255928,4.761725,24|4|26|15|7,0.1148|0.1093|0.0983|0.0745|0.0546,
unit_000303,Amsterdam,9,20,207.5,24,2.8406,3e-05,0.02069,0.5052,52.256684,4.764253,24|6|26|7|4,0.1032|0.0756|0.0736|0.0663|0.0644,
unit_000307,Amsterdam,3,3,54.3,4,2.8196,0.0,0.08452,0.5211,52.257224,4.762788,4|6|26|23|7,0.0786|0.0758|0.0709|0.0587|0.0574,
unit_000311,Amsterdam,12,18,262.5,4,2.8216,2e-05,0.01377,0.5034,52.257951,4.762053,4|6|26|7|23,0.0822|0.0790|0.0742|0.0619|0.0571,
unit_000313,Amsterdam,3,3,54.3,4,2.8196,0.0,0.08452,0.5211,52.257224,4.762788,4|6|26|23|7,0.0786|0.0758|0.0709|0.0587|0.0574,
unit_000315,Amsterdam,9,20,207.5,24,2.8406,3e-05,0.02069,0.5052,52.256684,4.764253,24|6|26|7|4,0.1032|0.0756|0.0736|0.0663|0.0644,
unit_000317,Amsterdam,14,14,321.4,26,2.7115,0.0,0.08783,0.5219,52.258076,4.76592,26|18|6|30|1,0.0721|0.0650|0.0610|0.0521|0.0485,
unit_000322,Amsterdam,122,78,2580.0,26,2.7313,9e-05,0.05248,0.5131,52.260934,4.708893,26|4|1|6|24,0.1149|0.1012|0.0625|0.0601|0.0585,
unit_000325,Amsterdam,14,14,208.1,19,2.6199,0.0,0.08013,0.52,52.260132,4.797995,19|2|1|17|23,0.1071|0.0847|0.0601|0.0555|0.0509,
unit_000327,Amsterdam,4,5,81.0,26,2.7773,0.0,0.0141,0.5035,52.260397,4.754968,26|4|15|1|24,0.1107|0.0892|0.0740|0.0665|0.0651,
unit_000328,Amsterdam,194,139,4166.1,26,2.8063,8e-05,0.02609,0.5065,52.2627,4.75528,26|4|24|15|6,0.1076|0.0693|0.0654|0.0648|0.0603,
unit_000329,Amsterdam,16,10,266.2,26,2.7795,9e-05,0.09509,0.5237,52.260585,4.71081,26|4|15|24|7,0.1030|0.0918|0.0877|0.0827|0.0621,
unit_000330,Amsterdam,36,50,659.2,4,2.6723,1e-05,0.06853,0.5171,52.260992,4.756048,4|26|30|24|1,0.1299|0.1039|0.0721|0.0630|0.0593,
unit_000331,Amsterdam,82,26,1673.1,4,2.6765,6e-05,0.05192,0.513,52.261233,4.714806,4|26|24|30|7,0.1299|0.0981|0.0962|0.0529|0.0362,
unit_000332,Amsterdam,28,30,539.4,24,2.5596,0.0,0.02797,0.507,52.261434,4.716017,24|26|4|30|23,0.0986|0.0925|0.0864|0.0696|0.0520,
unit_000336,Amsterdam,624,322,14906.7,19,2.8415,0.00018,0.04251,0.5106,52.271588,4.82147,19|25|26|1|12,0.0901|0.0586|0.0583|0.0534|0.0531,
unit_000337,Amsterdam,5,6,100.6,2,2.6486,1e-05,0.014,0.5035,52.260712,4.81206,2|19|7|23|15,0.1045|0.0707|0.0640|0.0601|0.0600,
unit_000339,Amsterdam,7,8,150.9,2,2.7053,0.0,0.09982,0.5249,52.260282,4.813587,2|7|19|6|23,0.0793|0.0731|0.0708|0.0661|0.0647,
unit_000340,Amsterdam,39,16,955.6,19,2.7294,0.00011,0.11086,0.5277,52.262286,4.817479,19|10|6|23|7,0.1064|0.0668|0.0623|0.0570|0.0540,
unit_000342,Amsterdam,26,18,606.6,19,2.687,1e-05,0.05201,0.513,52.25957,4.80909,19|15|25|12|2,0.1032|0.1016|0.0843|0.0558|0.0498,
unit_000348,Amsterdam,4,5,81.0,26,2.7773,0.0,0.0141,0.5035,52.260397,4.754968,26|4|15|1|24,0.1107|0.0892|0.0740|0.0665|0.0651,
unit_000349,Amsterdam,44,98,798.1,26,2.7255,2e-05,0.06131,0.5153,52.261807,4.763038,26|24|4|15|10,0.1192|0.0916|0.0875|0.0824|0.0580,
unit_000350,Amsterdam,30,58,557.8,26,2.7175,0.0,0.04601,0.5115,52.26229,4.764659,26|24|4|6|10,0.1055|0.1052|0.0666|0.0631|0.0620,
unit_000362,Amsterdam,4,5,87.1,26,2.7704,0.0,0.02493,0.5062,52.262347,4.753172,26|24|16|12|6,0.0895|0.0772|0.0739|0.0701|0.0684,
unit_000363,Amsterdam,10,20,100.7,26,2.7386,0.0,0.02822,0.5071,52.262871,4.752854,26|16|4|12|6,0.0912|0.0882|0.0724|0.0649|0.0608,
unit_000364,Amsterdam,24,4,566.4,26,2.7697,0.0,0.02467,0.5062,52.261134,4.752716,26|24|16|12|6,0.0890|0.0780|0.0730|0.0699|0.0684,
unit_000366,Amsterdam,4,6,79.6,15,2.5759,1e-05,0.04335,0.5108,52.262894,4.760426,15|25|17|19|6,0.1225|0.1028|0.0832|0.0506|0.0360,
